abstract,academicAdvisor,almaMater,award,birthDate,birthName,birthPlace,categories,child,citizenship,comment,deathDate,deathPlace,description,doctoralAdvisor,doctoralStudent,field,fullName,gender,givenName,influenced,influencedBy,isPrimaryTopicOf,knownFor,name,nationality,notableStudent,parent,residence,resource,signature,source,spouse,surname,theorized,thesisTitle,thesisUrl,thesisYear,thumbnail,wasDerivedFrom,wikiPageID,wikiPageRevisionID,workplaces
"Aiyalam Parameswaran Balachandran (Malayalam: ഐയ്ലം പരമേശ്വരന്‍ ബാലചന്ദ്രന്‍; born January 25, 1938) is an Indian theoretical physicist well known for his extensive contributions to the role of classical topology in quantum physics. He has been the Joel Dorman Steele Professor of Physics in Syracuse University since 2000. He has also been a Fellow of the American Physical Society and awarded a prize by the U.S. Chapter of the Indian Physics Association in recognition of his outstanding scientific contributions. In 1990, Syracuse University honored him with a Chancellor's Citation for Exceptional Academic Achievement, and in 1991 he was qualified for the university's William Wasserstrom Prize for Outstanding Graduate Teaching. Prof. Balachandran's key scientific works to date include the revival of the Skyrme model which successfully describes baryons as topological solitons of meson fields and extensive applications and popularisation of mathematical concepts such as homotopy groups and fibre bundles to problems in quantum physics. Lately Prof. Balachandran's research has been focused on the formulation of quantum field theories on noncommutative spacetimes and investigating the emergent significance of Hopf algebras in quantum physics as generalisations of symmetry groups.",,Chennai,,1938-01-25,,"Presidencies and provinces of British India|Salem, Tamil Nadu",1938 births|American physicists|Fellows of the American Physical Society|Indian physicists|Living people|Madras Christian College alumni|Syracuse University faculty|Theoretical physicists|University of Madras alumni,,Indian,"Aiyalam Parameswaran Balachandran (Malayalam: ഐയ്ലം പരമേശ്വരന്‍ ബാലചന്ദ്രന്‍; born January 25, 1938) is an Indian theoretical physicist well known for his extensive contributions to the role of classical topology in quantum physics. He has been the Joel Dorman Steele Professor of Physics in Syracuse University since 2000. He has also been a Fellow of the American Physical Society and awarded a prize by the U.S. Chapter of the Indian Physics Association in recognition of his outstanding scientific contributions. In 1990, Syracuse University honored him with a Chancellor's Citation for Exceptional Academic Achievement, and in 1991 he was qualified for the university's William Wasserstrom Prize for Outstanding Graduate Teaching.",,,Indian Physicist,Alladi Ramakrishnan,Pierre Ramond,Physicist,A. P. Balachandran,male,A.,,,http://en.wikipedia.org/wiki/A._P._Balachandran,Noncommutative geometry|Topology,A. P. Balachandran,,,,India,http://dbpedia.org/resource/A._P._Balachandran,,http://dbpedia.org/data/A._P._Balachandran.json,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/A._P._Balachandran.jpg?width=300,http://en.wikipedia.org/wiki/A._P._Balachandran?oldid=744689666,15542924,744689666,
"Aage Niels Bohr (Danish: [ˈɔːʊ̯ə ˌnels ˈboɐ̯ˀ] ; 19 June 1922 – 9 September 2009) was a Danish nuclear physicist who shared the Nobel Prize in Physics in 1975 with Ben Mottelson and James Rainwater ""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"". Starting from Rainwater's concept of an irregular-shaped liquid drop model of the nucleus, Bohr and Mottelson developed a detailed theory that was in close agreement with experiments. Since his father, Niels Bohr, had won the prize in 1922, he and his father were one of the six pairs of fathers and sons who have both won the Nobel Prize and one of the four pairs who have both won the Nobel Prize in Physics.",,University of Copenhagen,Atoms for Peace Award|Dannie Heineman Prize for Mathematical Physics|H. C. Ørsted Medal|John Price Wetherill Medal|Nobel Prize in Physics|Rutherford Medal and Prize,1922-06-19,,Copenhagen,1922 births|2009 deaths|Atoms for Peace Award recipients|Bohr family|Danish Nobel laureates|Danish nuclear physicists|Danish people of Jewish descent|Danish physicists|Institute for Advanced Study visiting scholars|Manhattan Project people|Members of the Pontifical Academy of Sciences|Members of the Royal Swedish Academy of Sciences|Members of the United States National Academy of Sciences|Niels Bohr|Nobel laureates in Physics|Scientists from Copenhagen|University of Copenhagen alumni,,,"Aage Niels Bohr (Danish: [ˈɔːʊ̯ə ˌnels ˈboɐ̯ˀ] ; 19 June 1922 – 9 September 2009) was a Danish nuclear physicist who shared the Nobel Prize in Physics in 1975 with Ben Mottelson and James Rainwater ""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"". Starting from Rainwater's concept of an irregular-shaped liquid drop model of the nucleus, Bohr and Mottelson developed a detailed theory that was in close agreement with experiments. Since his father, Niels Bohr, had won the prize in 1922, he and his father were one of the six pairs of fathers and sons who have both won the Nobel Prize and one of the four pairs who have both won the No",2009-09-09,Copenhagen,Danish physicist,,,Nuclear physics,Aage Bohr,male,Aage,,,http://en.wikipedia.org/wiki/Aage_Bohr,Geometry of atomic nuclei,Aage Niels Bohr,Danish,,,,http://dbpedia.org/resource/Aage_Bohr,,http://dbpedia.org/data/Aage_Bohr.json,,,,Rotational States of Atomic Nuclei,,1954,http://commons.wikimedia.org/wiki/Special:FilePath/Aage_Bohr.jpg?width=300,http://en.wikipedia.org/wiki/Aage_Bohr?oldid=727860526,2201,727860526,Columbia University|Institute for Advanced Study|Manhattan Project|University of Copenhagen
"Aaldert Hendrik Wapstra (24 April 1922, Utrecht – 2 December 2006, Naarden) was a Dutch physicist. Wapstra studied physics at Utrecht University and obtained his PhD with the dissertation Decay schemes of Pb209, Bi207 and Bi214 and the binding energies of the heavy nuclei at the University of Amsterdam in 1953. He became a full professor in 1955 at the department of experimental physics at the Technische Hogeschool, now the Technical University in Delft, Netherlands. On the 18th of March 1963 Wapstra entered the board of the IKO, now known as NIKHEF, as the scientific director of nuclear spectroscopy. He became the director in 1971, succeeding Van Lieshout, where he continued on until 1982. He retired in 1987. Wapstra is renowned for his work on the Atomic Mass Evaluation, in the beginning together with Josef Mattauch at the Max Planck Institute for Chemistry and later on with his colleague Georges Audi at Université de Paris-Sud. For this work he obtained the SUNAMCO medal of the International Union of Pure and Applied Physics (IUPAP) in September 2004.",,,International Union of Pure and Applied Physics,1922-04-24,,,1922 births|2006 deaths|Delft University of Technology faculty|Dutch nuclear physicists|Dutch physicists|People from Utrecht (city)|University of Amsterdam alumni|Utrecht University alumni,,,"Aaldert Hendrik Wapstra (24 April 1922, Utrecht – 2 December 2006, Naarden) was a Dutch physicist. Wapstra studied physics at Utrecht University and obtained his PhD with the dissertation Decay schemes of Pb209, Bi207 and Bi214 and the binding energies of the heavy nuclei at the University of Amsterdam in 1953. He became a full professor in 1955 at the department of experimental physics at the Technische Hogeschool, now the Technical University in Delft, Netherlands. On the 18th of March 1963 Wapstra entered the board of the IKO, now known as NIKHEF, as the scientific director of nuclear spectroscopy. He became the director in 1971, succeeding Van Lieshout, where he continued on until 1982. He retired in 1987.",2006-12-02,Naarden,Dutch nuclear physicist,,,Physics,Aaldert Wapstra,male,Aaldert,,,http://en.wikipedia.org/wiki/Aaldert_Wapstra,Atomic Mass Evaluation,Aaldert Hendrik Wapstra|Aaldert Wapstra,Netherlands,,,,http://dbpedia.org/resource/Aaldert_Wapstra,,http://dbpedia.org/data/Aaldert_Wapstra.json,,Wapstra,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Aaldert_Wapstra.jpg?width=300,http://en.wikipedia.org/wiki/Aaldert_Wapstra?oldid=717669775,11543116,717669775,
"Abdul Qadeer Khan, NI, HI, FPAS /ˌɑːbˈdʊl kɑːdɪər kɑːn/ (Urdu: ڈاکٹر عبد القدیر خان‎; b. 1 April 1936), known as A. Q. Khan, is a Pakistani nuclear physicist and a metallurgical engineer, who founded the uranium enrichment program for Pakistan's atomic bomb project. Khan founded and established the Kahuta Research Laboratories (KRL) in 1976, serving as both its senior scientist and Director-General until he retired in 2001. Khan was also a figure in other Pakistani national science projects, making research contributions to molecular morphology, the physics of martensite alloys, condensed matter physics, and materials physics. In January 2004, the Pakistani government summoned Khan for a debriefing on his active role in nuclear weapons technology proliferation in other countries after the United States provided evidence of it to the Pakistanis. Khan formally admitted his responsibility for these activities a month later. The Pakistani government dismisses allegations that Pakistani authorities sanctioned Khan's activities. After years of official house arrest during and following his debriefing, the Islamabad High Court (IHC) on 6 February 2009 declared Abdul Qadeer Khan to be a free citizen of Pakistan, allowing him free movement inside the country. The verdict was rendered by Chief Justice Sardar Muhammad Aslam. In September 2009, concerned because the decision also ended all security restrictions on Khan, the United States warned that Khan still remained a ""serious proliferation risk"".",,Catholic University of Leuven (1834–1968)|Delft University of Technology|Technical University of Berlin,Hilal-i-Imtiaz|Nishan-e-Imtiaz,1936-04-27,,Bhopal|India|Princely state,1936 births|Catholic University of Leuven alumni|D. J. Sindh Government Science College alumni|Delft University of Technology alumni|Delft University of Technology faculty|Engineers from Karachi|Fellows of Pakistan Academy of Sciences|Ghulam Ishaq Khan Institute of Engineering Sciences and Technology faculty|Hamdard University faculty|Living people|Materials scientists and engineers|Muhajir people|Muslim scholars|Nuclear proliferation|Overturned convictions in Pakistan|Pakistani academics|Pakistani engineers|Pakistani expatriates in Germany|Pakistani expatriates in the Netherlands|Pakistani metallurgists|Pakistani nuclear physicists|Pakistani physicists|Pakistani scholars|Pakistani scientists|Pakistani spies|Pakistani textbook writers|Pashtun people|People from Bhopal|People from Islamabad|People from Karachi|Project-706|Recipients of Hilal-i-Imtiaz|Recipients of Nishan-e-Imtiaz|Recipients of Pakistani presidential pardons|Space and Upper Atmosphere Research Commission people|Theoretical chemists|Theoretical physicists|University of Karachi alumni|Weapons scientists and engineers,,Pakistan,"Abdul Qadeer Khan, NI, HI, FPAS /ˌɑːbˈdʊl kɑːdɪər kɑːn/ (Urdu: ڈاکٹر عبد القدیر خان‎; b. 1 April 1936), known as A. Q. Khan, is a Pakistani nuclear physicist and a metallurgical engineer, who founded the uranium enrichment program for Pakistan's atomic bomb project. Khan founded and established the Kahuta Research Laboratories (KRL) in 1976, serving as both its senior scientist and Director-General until he retired in 2001. Khan was also a figure in other Pakistani national science projects, making research contributions to molecular morphology, the physics of martensite alloys, condensed matter physics, and materials physics.",,,Pakistani nuclear scientist,Martin J. Brabers,,Metallurgy,Abdul Qadeer Khan,male,Abdul,,Friedrich Tinner,http://en.wikipedia.org/wiki/Abdul_Qadeer_Khan,Martensite|Morphology (biology)|Pakistan and weapons of mass destruction|Ultracentrifuge,A. Q. Khan|Abdul Qadeer Khan,,,,Islamabad|Islamabad Capital Territory,http://dbpedia.org/resource/Abdul_Qadeer_Khan,,http://dbpedia.org/data/Abdul_Qadeer_Khan.json,Hendrina  Khan,,,,,,,http://en.wikipedia.org/wiki/Abdul_Qadeer_Khan?oldid=742343533,452160,742343533,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology|Khan Research Laboratories|Urenco Group
"Mohammad Abdus Salam NI, SPk, KBE (Punjabi, Urdu: محمد عبد السلام‎; pronounced [əbd̪ʊs səlɑm]; 29 January 1926 – 21 November 1996), was a Pakistani theoretical physicist. A major figure in 20th century theoretical physics, he shared the 1979 Nobel Prize in Physics with Sheldon Glashow and Steven Weinberg for his contribution to the electroweak unification theory. He was the first Pakistani and first Muslim to receive a Nobel Prize in science and the second from an Islamic country to receive any Nobel Prize (after Anwar Sadat of Egypt). Salam was a top level science advisor to the Government of Pakistan from 1960 to 1974, a position from which he played a major and influential role in the development of the country's science infrastructure. Salam was responsible not only for contributing to major developments in theoretical and particle physics, but also for promoting the broadening and deepening of high calibre scientific research in his country. He was the founding director of the Space and Upper Atmosphere Research Commission (SUPARCO), and responsible for the establishment of the Theoretical Physics Group (TPG) in the Pakistan Atomic Energy Commission (PAEC). As Science Advisor, Salam played an integral role in Pakistan's development of the peaceful use of nuclear energy, and may have contributed as well to development of atomic bomb project of Pakistan in 1972; for this, he is viewed as the ""scientific father"" of this programme. In 1974, Abdus Salam departed from his country, in protest, after the Pakistan Parliament passed a controversial parliamentary bill declaring the Ahmadiyya movement, to which Salam belonged, as not-Islamic. In 1998, following the country's nuclear tests, the Government of Pakistan issued a commemorative stamp, as a part of ""Scientists of Pakistan"", to honour the services of Salam. Salam's major and notable achievements include the Pati–Salam model, magnetic photon, vector meson, Grand Unified Theory, work on supersymmetry and, most importantly, electroweak theory, for which he was awarded the most prestigious award in physics – the Nobel Prize. Salam made a major contribution in quantum field theory and in the advancement of Mathematics at Imperial College London. With his student, Riazuddin, Salam made important contributions to the modern theory on neutrinos, neutron stars and black holes, as well as the work on modernising the quantum mechanics and quantum field theory. As a teacher and science promoter, Salam is remembered as a founder and scientific father of mathematical and theoretical physics in Pakistan during his term as the chief scientific advisor to the president. Salam heavily contributed to the rise of Pakistani physics to the physics community in the world. Even until shortly before his death, Salam continued to contribute to physics, and to advocate for the development of science in Third-World countries.",Paul Taunton Matthews,"Government College University (Lahore)|St John's College, Cambridge|University of the Punjab",Adams Prize|Atoms for Peace Award|Copley Medal|Fellow of the Royal Society|Hughes Medal|Nishan-e-Imtiaz|Nishan-e-Pakistan|Nobel Prize in Physics|Royal Medal|Smith's Prize,1926-01-29,,Jhang|Presidencies and provinces of British India|Punjab Province (British India),"1926 births|1996 deaths|Academics of Imperial College London|Administrators of the Space and Upper Atmosphere Research Commission|Alumni of St John's College, Cambridge|Atoms for Peace Award recipients|Deaths from progressive supranuclear palsy|Fellows of Bangladesh Academy of Sciences|Fellows of Pakistan Academy of Sciences|Fellows of the Royal Society|Foreign Fellows of the Indian National Science Academy|Foreign Members of the Russian Academy of Sciences|Foreign Members of the USSR Academy of Sciences|Government College University, Lahore alumni|Honorary Knights Commander of the Order of the British Empire|Maxwell Medal and Prize recipients|Members of the Pontifical Academy of Sciences|Nobel laureates in Physics|Pakistani academics|Pakistani Ahmadis|Pakistani Nobel laureates|Pakistani physicists|Pakistani scholars|Pakistani scientists|People from Jhang District|Project-706|Punjabi Nobel laureates|Punjabi people|Recipients of Nishan-e-Imtiaz|Recipients of the Copley Medal|Recipients of the National Order of Scientific Merit (Brazil)|Recipients of the Pride of Performance|Royal Medal winners|Science and technology in Pakistan|Space advocates|Space and Upper Atmosphere Research Commission people|Theoretical physicists|TWAS fellows|University of the Punjab alumni",Anisa Bushra Salam Bajwa|Aziza Rahman,,"Mohammad Abdus Salam NI, SPk, KBE (Punjabi, Urdu: محمد عبد السلام‎; pronounced [əbd̪ʊs səlɑm]; 29 January 1926 – 21 November 1996), was a Pakistani theoretical physicist. A major figure in 20th century theoretical physics, he shared the 1979 Nobel Prize in Physics with Sheldon Glashow and Steven Weinberg for his contribution to the electroweak unification theory. He was the first Pakistani and first Muslim to receive a Nobel Prize in science and the second from an Islamic country to receive any Nobel Prize (after Anwar Sadat of Egypt).",1996-11-21,Oxford,"theoretical physicist, and Nobel Prize in Physics recipient",Nicholas Kemmer,Michael Duff (physicist),Theoretical physics,Abdus Salam,male,Muhammed,Hafeez Hoorani|Mujaddid Ahmed Ijaz|Pervez Hoodbhoy|Riazuddin (physicist)|Salim Mehmud|Tariq Mustafa,Abdullah Sadiq|Benjamin W. Lee|Fayyazuddin|M. Shahid Qureshi|Muneer Ahmad Rashid|Noor Muhammad|Parvez Butt,http://en.wikipedia.org/wiki/Abdus_Salam,Electroweak interaction,Abdus Salam|Mohammad Abdus Salam,Pakistanis,Faheem Hussain,,,http://dbpedia.org/resource/Abdus_Salam,AbdusSalamBlackpenAutograph.gif,http://dbpedia.org/data/Abdus_Salam.json,Louise Johnson,,W and Z bosons,Renormalisation of Quantum Field Theory,,1951,http://commons.wikimedia.org/wiki/Special:FilePath/Abdus_Salam_1987.jpg?width=300,http://en.wikipedia.org/wiki/Abdus_Salam?oldid=742242509,304427,742242509,PAECSUPARCOPINSTECHPunjab UniversityImperial College LondonGovernment College UniversityUniversity of CambridgeICTPCOMSATSTWASEdward Bouchet Abdus Salam Institute
"Abraham Isahakovich Alikhanov (Alikhanian, Armenian: Աբրահամ Իսահակի Ալիխանյան) (February 20, 1904 – December 8, 1970) was a Soviet Armenian physicist, academic of the USSR Academy of Sciences. He was one of the leaders of the Soviet atomic project. In 1945, he founded and became director of the Institute for Theoretical and Experimental Physics. He is known as one of the fathers of Soviet particle physics.",,Peter the Great St. Petersburg Polytechnic University,Hero of Socialist Labour|USSR State Prize,1904-02-20,,"Elisabethpol Governorate|Ganja, Azerbaijan|Russian Empire|Tbilisi","1904 births|1970 deaths|20th-century physicists|20th-century scientists|Armenian academics|Armenian inventors|Armenian physicists|Armenian scientists|Azerbaijani Armenians|Burials at Novodevichy Cemetery|Full Members of the USSR Academy of Sciences|People from Ganja, Azerbaijan|Recipients of the USSR State Prize|Russian nuclear physicists|Soviet Armenians|Soviet inventors|Soviet nuclear physicists|Soviet physicists|Stalin Prize winners",,,"Abraham Isahakovich Alikhanov (Alikhanian, Armenian: Աբրահամ Իսահակի Ալիխանյան) (February 20, 1904 – December 8, 1970) was a Soviet Armenian physicist, academic of the USSR Academy of Sciences. He was one of the leaders of the Soviet atomic project. In 1945, he founded and became director of the Institute for Theoretical and Experimental Physics. He is known as one of the fathers of Soviet particle physics.",1970-12-08,Moscow|Russian Soviet Federative Socialist Republic|Soviet Union,family,,,Particle physics,Abraham Alikhanov,male,Abraham,,,http://en.wikipedia.org/wiki/Abraham_Alikhanov,Nuclear reactor|Soviet Union,Abraham Alikhanov,Armenians,,,,http://dbpedia.org/resource/Abraham_Alikhanov,,http://dbpedia.org/data/Abraham_Alikhanov.json,,Alikhanov,,,,,,http://en.wikipedia.org/wiki/Abraham_Alikhanov?oldid=736856447,18594585,736856447,Institute for Theoretical and Experimental Physics
"Abraham Bennet FRS (baptised 20 December 1749 - buried 9 May 1799) was an English clergyman and physicist, the inventor of the gold-leaf electroscope and developer of an improved magnetometer. Though he was cited by Alessandro Volta as a key influence on his own work, Bennet's work was curtailed by the political turbulence of his time.",,,,1749-12-20,,,1749 births|1799 deaths|18th-century English Anglican priests|English physicists|Fellows of the Royal Society|People from High Peak (district),,,"Abraham Bennet FRS (baptised 20 December 1749 - buried 9 May 1799) was an English clergyman and physicist, the inventor of the gold-leaf electroscope and developer of an improved magnetometer. Though he was cited by Alessandro Volta as a key influence on his own work, Bennet's work was curtailed by the political turbulence of his time.",1799-05-05,Derbyshire,British physicist,,,,Abraham Bennet,male,Abraham,,,http://en.wikipedia.org/wiki/Abraham_Bennet,,Abraham Bennet,,,,,http://dbpedia.org/resource/Abraham_Bennet,,http://dbpedia.org/data/Abraham_Bennet.json,,Bennet,,,,,http://en.wikipedia.org/wiki/Special:FilePath/Abraham_Bennet.JPG?width=300,http://en.wikipedia.org/wiki/Abraham_Bennet?oldid=712458546,13061257,712458546,
"Abraham Haskel Taub (February 1, 1911 – August 9, 1999) was a distinguished American mathematician and physicist, well known for his important contributions to the early development of general relativity, as well as differential geometry and differential equations. In a 1948 paper dealing with relativistic shock waves, he introduced a relativistic generalization of the Rankine-Hugoniot jump conditions across a shock, which is now known as the Taub Adiabat. He also introduced the Taub–NUT space in general relativity. Taub earned his doctorate at Princeton University in 1935, under the direction of the prominent relativist Howard P. Robertson. At Princeton, Taub was also influenced by Oswald Veblen. In 1948, Abe Taub went to the University of Illinois as the chief mathematician associated with a project to build a computer based on von Neumann's plans. The computer, called ORDVAC, was completed in 1952 and delivered to the Aberdeen Proving Grounds. A second copy of the computer, ILLIAC I, remained at Illinois and was the prototype for several other computers. Taub was head of the Digital Computer Laboratory at Illinois from 1961 until 1964, when he moved to the University of California, Berkeley, as director of the Computer Center (1964–68).",,Princeton University,,1911-02-01,,Chicago,1911 births|1999 deaths|20th-century American mathematicians|American physicists|Differential geometers|Guggenheim Fellows|Relativity theorists,,,"Abraham Haskel Taub (February 1, 1911 – August 9, 1999) was a distinguished American mathematician and physicist, well known for his important contributions to the early development of general relativity, as well as differential geometry and differential equations. In a 1948 paper dealing with relativistic shock waves, he introduced a relativistic generalization of the Rankine-Hugoniot jump conditions across a shock, which is now known as the Taub Adiabat. He also introduced the Taub–NUT space in general relativity.",1999-08-09,,American mathematician and physicist,Howard P. Robertson,C. William Gear|Gene H. Golub,Mathematics|Physics,Abraham H. Taub,male,Abraham,,,http://en.wikipedia.org/wiki/Abraham_H._Taub,Taub Adiabat,Abraham H. Taub|Abraham Taub,United States,,,,http://dbpedia.org/resource/Abraham_H._Taub,,http://dbpedia.org/data/Abraham_H._Taub.json,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham_Taub.jpg?width=300,http://en.wikipedia.org/wiki/Abraham_H._Taub?oldid=742301006,2402789,742301006,
"Abraham Pais (May 19, 1918 – July 28, 2000) was a Dutch-born American physicist and science historian. Pais earned his Ph.D. from University of Utrecht just prior to a Nazi ban on Jewish participation in Dutch universities during World War II. When the Nazis began the forced relocation of Dutch Jews, he went into hiding, but was later arrested and saved only by the end of the war. He then served as an assistant to Niels Bohr in Denmark and was later a colleague of Albert Einstein at the Institute for Advanced Study in Princeton, New Jersey. Pais wrote books documenting the lives of these two great physicists and the contributions they and others made to modern physics. He was a physics professor at Rockefeller University until his retirement.",,Utrecht University,Andrew Gemant Award,1918-05-19,,Amsterdam|Netherlands,1918 births|2000 deaths|20th-century historians|20th-century physicists|American physicists|Columbia University faculty|Dutch emigrants to the United States|Dutch Jews|Dutch nuclear physicists|Dutch people of Portuguese-Jewish descent|Dutch physicists|Guggenheim Fellows|Historians of science|Institute for Advanced Study faculty|Members of the Royal Netherlands Academy of Arts and Sciences|National Book Award winners|Science teachers|Scientists from Amsterdam|University of Amsterdam alumni|Utrecht University alumni,,,"Abraham Pais (May 19, 1918 – July 28, 2000) was a Dutch-born American physicist and science historian. Pais earned his Ph.D. from University of Utrecht just prior to a Nazi ban on Jewish participation in Dutch universities during World War II. When the Nazis began the forced relocation of Dutch Jews, he went into hiding, but was later arrested and saved only by the end of the war. He then served as an assistant to Niels Bohr in Denmark and was later a colleague of Albert Einstein at the Institute for Advanced Study in Princeton, New Jersey. Pais wrote books documenting the lives of these two great physicists and the contributions they and others made to modern physics. He was a physics professor at Rockefeller University until his retirement.",2000-07-28,Copenhagen,American  Physicist,Léon Rosenfeld,,Physicist,Abraham Pais,male,Abraham,,,http://en.wikipedia.org/wiki/Abraham_Pais,G-parity|Special unitary group,Abraham Pais,Netherlands|United States,,,Netherlands,http://dbpedia.org/resource/Abraham_Pais,,http://dbpedia.org/data/Abraham_Pais.json,Ida Nicolaisen|Jeanne|Lila Lee Atwill,Pais,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham_Pais.jpg?width=300,http://en.wikipedia.org/wiki/Abraham_Pais?oldid=737111252,316643,737111252,
"Abram Fedorovich (or Fyodorovich) Ioffe (Russian: Абра́м Фёдорович Ио́ффе; 29 October [O.S. 17 October] 1880 – 14 October 1960) was a prominent Russian/Soviet physicist. He received the Stalin Prize (1942), the Lenin Prize (1960) (posthumously), and the Hero of Socialist Labor (1955). Ioffe was an expert in electromagnetism, radiology, crystals, high-impact physics, thermoelectricity and photoelectricity. He established research laboratories for radioactivity, superconductivity, and nuclear physics, many of which became independent institutes.",,Saint Petersburg State Institute of Technology,,1880-10-29,Abram Fedorovich (or Fyodorovich) Ioffe,Romny|Russian Empire,1880 births|1960 deaths|20th-century physicists|Converts to Christianity from Judaism|Full Members of the Russian Academy of Sciences (1917–25)|Full Members of the USSR Academy of Sciences|Heroes of Socialist Labour|Jewish scientists|Lenin Prize winners|People from Romny|Russian inventors|Russian Jews|Russian physicists|Saint Petersburg State Institute of Technology alumni|Soviet physicists|Stalin Prize winners,,,"Abram Fedorovich (or Fyodorovich) Ioffe (Russian: Абра́м Фёдорович Ио́ффе; 29 October [O.S. 17 October] 1880 – 14 October 1960) was a prominent Russian/Soviet physicist. He received the Stalin Prize (1942), the Lenin Prize (1960) (posthumously), and the Hero of Socialist Labor (1955). Ioffe was an expert in electromagnetism, radiology, crystals, high-impact physics, thermoelectricity and photoelectricity. He established research laboratories for radioactivity, superconductivity, and nuclear physics, many of which became independent institutes.",1960-10-14,Saint Petersburg|Soviet Union,Soviet physicist,Wilhelm Röntgen,Nikolay Semyonov,Physics,Abram Ioffe,male,Abram,,,http://en.wikipedia.org/wiki/Abram_Ioffe,,Abram Ioffe,,,,,http://dbpedia.org/resource/Abram_Ioffe,,http://dbpedia.org/data/Abram_Ioffe.json,,Ioffe,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/IoffeStamp.jpg?width=300,http://en.wikipedia.org/wiki/Abram_Ioffe?oldid=736297202,475185,736297202,
