full_name,is_eu_worker,is_eu_alumni,is_alumni,is_na_eu_resident,is_na_citizen,is_na_worker,is_as_citizen,is_na_alumni,is_gbr_citizen,is_rus_citizen,is_deu_citizen,is_nld_ita_che_citizen,is_studyholic,is_workhorse,is_aut_citizen,is_eu_citizen,is_gbr_worker,is_passport_collector,is_born,is_fra_citizen,is_other_citizen,is_emigrant,is_physics_laureate_teacher,is_physics_laureate_student,is_astronomer
Aage Bohr,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no
Aaldert Wapstra,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Abdus Salam,no,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes
Abraham Alikhanov,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes
Abraham H. Taub,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
Abraham Pais,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no
Abram Ioffe,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Adolf Kratzer,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Adolfas Jucys,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no
Adriaan Fokker,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Akira Tonomura,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
Alan Walsh (physicist),no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no
Albert A. Michelson,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
Albert Einstein,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no
Aleksandr Lyapunov,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Alexander Friedmann,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Alexander Graham Bell,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no
Alexander Prokhorov,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no
Alexei Zamolodchikov,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Alfred Kastler,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no
Alfred Lee Loomis,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
Alfred-Marie Liénard,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no
Ali Javan,no,no,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no
Ali Moustafa Mosharafa,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no
Alladi Ramakrishnan,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
Allan McLeod Cormack,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no
Alvin M. Weinberg,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
Amal Kumar Raychaudhuri,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
Amos Dolbear,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
Amrom Harry Katz,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Anatoly Vlasov,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Andrei Sakharov,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Archibald Low,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Ari Brynjolfsson,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no
Arnold Sommerfeld,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,no
Arpad Elo,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no
Arseny Sokolov,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Artem Alikhanian,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no,yes,no,no,no,yes
Arthur Compton,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
Arthur Eddington,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,yes
Arthur Iberall,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Arthur Korn,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Arthur Leonard Schawlow,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
Arthur Maitland,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Arthur Wightman,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
Asım Orhan Barut,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no
Baien Tomlin,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Balthasar van der Pol,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Basilis C. Xanthopoulos,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no
Behram Kurşunoğlu,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no
Benjamin W. Lee,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no
Bernhard Philberth,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Bertha Swirles,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Bertram Brockhouse,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no
Bice Sechi-Zorn,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Boris Chirikov,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Boris Podolsky,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no
Boyd Bartlett,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Bruno Pontecorvo,yes,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no
Bruno Rossi,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,yes
Bruno Touschek,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no
Bruno Zumino,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no
C. F. Powell,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no
C. V. Raman,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no
Carl David Anderson,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
Carl Eckart,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
Carl Friedrich von Weizsäcker,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Carl Hermann,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Carl Ramsauer,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Carl Sagan,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
Carl-Gustaf Rossby,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no
Carlo Marangoni,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Carolina Henriette MacGillavry,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
César Lattes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no
Charles Critchfield,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
Charles Édouard Guillaume,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Charles Galton Darwin,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,no
Charles Glover Barkla,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,no
Charles H. Henry,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
Charles H. Townes,no,no,yes,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
Charles Thomson Rees Wilson,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,no
