full_name,physics_laureate
Aage Bohr,yes
Aaldert Wapstra,no
Abdus Salam,yes
Abraham Alikhanov,no
Abraham H. Taub,no
Abraham Pais,no
Abram Ioffe,no
Adolf Kratzer,no
Adolfas Jucys,no
Adriaan Fokker,no
Akira Tonomura,no
Alan Walsh (physicist),no
Albert A. Michelson,yes
Albert Einstein,yes
Aleksandr Lyapunov,no
Alexander Friedmann,no
Alexander Graham Bell,no
Alexander Prokhorov,yes
Alexei Zamolodchikov,no
Alfred Kastler,yes
Alfred Lee Loomis,no
Alfred-Marie Liénard,no
Ali Javan,no
Ali Moustafa Mosharafa,no
Alladi Ramakrishnan,no
Allan McLeod Cormack,no
Alvin M. Weinberg,no
Amal Kumar Raychaudhuri,no
Amos Dolbear,no
Amrom Harry Katz,no
Anatoly Vlasov,no
Andrei Sakharov,no
Archibald Low,no
Ari Brynjolfsson,no
Arnold Sommerfeld,no
Arpad Elo,no
Arseny Sokolov,no
Artem Alikhanian,no
Arthur Compton,yes
Arthur Eddington,no
Arthur Iberall,no
Arthur Korn,no
Arthur Leonard Schawlow,yes
Arthur Maitland,no
Arthur Wightman,no
Asım Orhan Barut,no
Baien Tomlin,no
Balthasar van der Pol,no
Basilis C. Xanthopoulos,no
Behram Kurşunoğlu,no
Benjamin W. Lee,no
Bernhard Philberth,no
Bertha Swirles,no
Bertram Brockhouse,yes
Bice Sechi-Zorn,no
Boris Chirikov,no
Boris Podolsky,no
Boyd Bartlett,no
Bruno Pontecorvo,no
Bruno Rossi,no
Bruno Touschek,no
Bruno Zumino,no
C. F. Powell,yes
C. V. Raman,yes
Carl David Anderson,yes
Carl Eckart,no
Carl Friedrich von Weizsäcker,no
Carl Hermann,no
Carl Ramsauer,no
Carl Sagan,no
Carl-Gustaf Rossby,no
Carlo Marangoni,no
Carolina Henriette MacGillavry,no
César Lattes,no
Charles Critchfield,no
Charles Édouard Guillaume,yes
Charles Galton Darwin,no
Charles Glover Barkla,yes
Charles H. Henry,no
Charles H. Townes,yes
Charles Thomson Rees Wilson,yes
Charlotte Riefenstahl,no
Chien-Shiung Wu,no
Christian Gerthsen,no
Clifford Shull,yes
Clinton Davisson,yes
David Bohm,no
David Enskog,no
David Finkelstein,no
David M. Dennison,no
David Olive,no
Deborah S. Jin,no
Dennis Gabor,yes
Dennis W. Sciama,no
Dmitry Shirkov,no
Dmitry Zubarev,no
Donald A. Glaser,yes
Dorothy Hodgkin,no
Douglas Hartree,no
Edward Arthur Milne,no
Edward Bouchet,no
Edward Condon,no
Edward Mills Purcell,yes
Edward P. Ney,no
Edward Ramberg,no
Edward Teller,no
Edward Victor Appleton,yes
Edwin C. Kemble,no
Edwin Ernest Salpeter,no
Edwin Hall,no
Edwin Hubble,no
Edwin Thompson Jaynes,no
Egon Orowan,no
Elephter Andronikashvili,no
Elmer Imes,no
Emil Wiechert,no
Emilio Segrè,yes
Emmy Noether,no
Enrico Fermi,yes
Erdal İnönü,no
Erhard Kietz,no
Ernest Esclangon,no
Ernest Lawrence,yes
Ernest Rutherford,no
Ernest Titterton,no
Ernest Walton,yes
Ernst Abbe,no
Ernst Brüche,no
Ernst Ising,no
Ernst Mach,no
Ernst Ruska,yes
Ernst Stueckelberg,no
Erwin Fues,no
Erwin Schrödinger,yes
Ettore Majorana,no
Eugene Feenberg,no
Eugene T. Booth,no
Eugene Wigner,yes
Evgeny Lifshitz,no
Felix Bloch,yes
Felix Ehrenhaft,no
Feza Gürsey,no
Floyd K. Richtmyer,no
Francis G. Slack,no
Francisco José Ynduráin,no
Franz S. Exner,no
Fred Hoyle,no
Frederick Grover,no
Frederick Reines,yes
Frederick Seitz,no
Friedrich Burmeister,no
Friedrich Ernst Dorn,no
Friedrich Hasenöhrl,no
Friedrich Hund,no
Frits Zernike,yes
Fritz Houtermans,no
G. I. Taylor,no
G. N. Glasoe,no
G. V. Skrotskii,no
Gabriel Lippmann,yes
Gabriele Rabel,no
George B. Pegram,no
George Gamow,no
George Paget Thomson,yes
George Uhlenbeck,no
George William Hill,no
Georges Charpak,yes
Georges Lemaître,no
Georges Sagnac,no
Georgy Flyorov,no
Gerald Feinberg,no
Gerald Goertzel,no
Gerald Guralnik,no
Gerard K. O'Neill,no
Gersh Budker,no
Gian-Carlo Wick,no
Gilbert Ronald Bainbridge,no
Gleb Wataghin,no
Gregor Wentzel,no
Grigory Landsberg,no
Guglielmo Marconi,yes
Guido Altarelli,no
Gunnar Nordström,no
Gurgen Askaryan,no
Gustaf Dalén,yes
Gustav Ludwig Hertz,yes
H. Pierre Noyes,no
Hannes Alfvén,yes
Hans Adolph Buchdahl,no
Hans Bethe,yes
Hans Geiger,no
Hans Henrik Andersen,no
Hans Kramers,no
Hans Ziegler,no
Harrie Massey,no
Hasan Abdullayev,no
Heike Kamerlingh Onnes,yes
Heinrich Kayser,no
Heinrich Rohrer,yes
Heinrich Welker,no
Heinz Barwich,no
Heinz Pagels,no
Heinz Pose,no
Helmut Hönl,no
Hendrik Casimir,no
Hendrik Lorentz,yes
Henk Dorgelo,no
Henri Becquerel,yes
Henri Poincaré,no
Henry Margenau,no
Henry Moseley,no
Henry Way Kendall,yes
Herbert L. Anderson,no
Herman Feshbach,no
Hermann Brück,no
Hermann Weyl,no
Hideki Yukawa,yes
Homi J. Bhabha,no
Howard Brandt,no
Igor Kurchatov,no
Igor Tamm,yes
Igor Ternov,no
Ilya Frank,yes
Ilya Prigogine,no
Irène Joliot-Curie,no
Irving Langmuir,no
Isidor Isaac Rabi,yes
Ivan Puluj,no
J. Hans D. Jensen,yes
J. J. Thomson,yes
J. Robert Oppenheimer,no
Jack Kilby,yes
Jagadish Chandra Bose,no
Jamal Nazrul Islam,no
James Alfred Ewing,no
James Chadwick,yes
James Cronin,yes
James Dewar,no
James Franck,yes
James Hopwood Jeans,no
James R. Wait,no
James Rainwater,yes
Jan Burgers,no
Jean Baptiste Perrin,yes
Jean-Pierre Vigier,no
Jens Martin Knudsen,no
Joan Maie Freeman,no
Joël Scherk,no
Johannes Bosscha,no
Johannes Diderik van der Waals,yes
Johannes Fischer,no
Johannes Rydberg,no
Johannes Stark,yes
John Alexander Simpson,no
John Archibald Wheeler,no
John Bardeen,yes
